ID,Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
2302,The Omen,1976,7.5,"112,851",Horror,111,Film,R,0,Mild,Moderate,Mild,Mild,Severe
2303,A League of Their Own,1992,7.3,"99,495","Comedy, Drama, Sport",128,Film,PG,0,Mild,Mild,Mild,Mild,Mild
2304,Big Hero 6,2014,7.8,"430,849","Animation, Action, Adventure",102,Film,PG,0,None,Mild,None,None,Mild
2305,Dracula,1931,7.5,"49,504","Drama, Fantasy, Horror",75,Film,Passed,0,None,Mild,None,Mild,Mild
2306,The Other Guys,2010,6.7,"253,460","Action, Comedy, Crime",107,Film,PG013,0,Mild,Moderate,Moderate,Mild,None
2307,He's Just Not That Into You,2009,6.4,"167,023","Comedy, Drama, Romance",129,Film,PG013,0,Moderate,None,Moderate,Mild,None
2308,Warcraft,2016,6.8,"253,612","Action, Adventure, Fantasy",123,Film,PG013,0,None,Moderate,Mild,None,Moderate
2309,Eraserhead,1977,7.4,"109,694","Fantasy, Horror, Thriller",89,Film,Not Rated,0,Mild,Moderate,Mild,None,Severe
2310,Once Upon a Time in Mexico,2003,6.4,"157,719","Action, Crime, Thriller",102,Film,R,0,Mild,Severe,Moderate,Mild,Moderate
2311,Master and Commander: The Far Side of the World,2003,7.4,"211,885","Action, Adventure, Drama",138,Film,PG013,0,None,Moderate,Mild,Mild,Moderate
2312,My Three Sons,2003,7.2,"3,515","Comedy, Family",30,Series,TV0G,380,No Rate,No Rate,No Rate,No Rate,No Rate
2313,Dragon Ball Z,2003,8.7,"120,310","Animation, Action, Adventure",24,Series,TV0PG,277,Mild,Moderate,Mild,Mild,Moderate
2314,Bando,2020,5.5,"28,247","Action, Horror, Thriller",116,Film,Not Rated,0,None,Severe,Mild,Mild,Moderate
2315,The Beverly Hillbillies,2020,7.2,"8,904","Comedy, Family",30,Series,TV0G,274,No Rate,No Rate,No Rate,No Rate,No Rate
2316,RocknRolla,2008,7.3,"243,702","Action, Crime, Thriller",114,Film,R,0,Mild,Severe,Severe,Moderate,Moderate
2317,Power Book II: Ghost,2008,6.9,"4,453","Crime, Drama",60,Series,TV0MA,20,Severe,Severe,Severe,Mild,Moderate
2318,Borgen,2008,8.5,"21,717",Drama,58,Series,TV014,38,Moderate,No Rate,Mild,No Rate,No Rate
2319,The Life Aquatic with Steve Zissou,2004,7.3,"187,352","Action, Adventure, Comedy",119,Film,R,0,Moderate,Mild,Moderate,Moderate,Mild
2320,The Patriot,2000,7.2,"263,252","Action, Drama, History",165,Film,R,0,None,Severe,Mild,Mild,Moderate
2321,Matilda,2022,No Rate,No Votes,"Comedy, Drama, Family",None,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
2322,A Cinderella Story,2004,5.9,"84,248","Comedy, Family, Romance",95,Film,PG,0,None,None,None,None,Mild
2323,Old School,2003,7.1,"223,128",Comedy,88,Film,R,0,Moderate,Mild,Moderate,Moderate,None
2324,High Life,2018,5.8,"32,274","Adventure, Drama, Horror",113,Film,R,0,Severe,Severe,Moderate,Mild,Severe
2325,Sky High,2005,6.2,"83,272","Adventure, Comedy, Family",100,Film,PG,0,Mild,Mild,None,None,Mild
2326,Silverado,1985,7.2,"41,327","Action, Crime, Drama",133,Film,PG013,0,None,Moderate,Mild,Mild,Mild
2327,Mr. Nobody,2009,7.8,"224,691","Drama, Fantasy, Romance",141,Film,R,0,Moderate,Mild,Mild,Mild,Mild
2328,Salem's Lot,2022,No Rate,No Votes,Horror,None,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
2329,Dickinson,2022,7.4,"8,729","Biography, Comedy, Drama",30,Series,TV014,30,Moderate,None,Mild,Mild,None
2330,Mank,2020,6.9,"66,789","Biography, Comedy, Drama",131,Film,R,0,Mild,Mild,Mild,Moderate,Mild
2331,Lift,2021,7.3,"2,082","Drama, Horror, Mystery",134,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
2332,Ammonite,2020,6.5,"13,011","Biography, Drama, History",120,Film,R,0,Severe,None,Mild,None,None
2333,Men in Black 3,2012,6.8,"346,992","Action, Adventure, Comedy",106,Film,PG013,0,Mild,Moderate,Mild,Mild,Moderate
2334,Liar Liar,1997,6.9,"293,711","Comedy, Fantasy",86,Film,PG013,0,Moderate,Mild,Mild,Mild,None
2335,Night Court,1997,7.6,"11,825",Comedy,30,Series,TV0PG,193,Mild,Mild,Moderate,Mild,None
2336,Homefront,2013,6.5,"115,503","Action, Crime, Thriller",100,Film,R,0,Mild,Severe,Severe,Moderate,Moderate
2337,Matlock,2013,7,"7,161","Crime, Drama, Mystery",60,Series,TV0PG,181,Mild,Mild,None,Mild,None
2338,Furious 6,2013,7,"382,192","Action, Adventure, Thriller",130,Film,PG013,0,Mild,Moderate,Moderate,Mild,Mild
2339,Three's Company,2013,7.5,"13,587",Comedy,30,Series,TV0PG,174,Mild,None,Mild,Mild,None
2340,Black and Blue,2019,6.4,"20,172","Action, Crime, Thriller",108,Film,R,0,None,Moderate,Moderate,None,Moderate
2341,Vicky Cristina Barcelona,2008,7.1,"248,942","Comedy, Drama, Romance",96,Film,PG013,0,Mild,Mild,Mild,Mild,Mild
2342,Horrible Bosses,2011,6.8,"433,267","Comedy, Crime",98,Film,R,0,Moderate,Mild,Severe,Mild,None
2343,Lawless,2012,7.3,"235,103","Crime, Drama",116,Film,R,0,Moderate,Severe,Moderate,Moderate,Moderate
2344,Elektra,2005,4.7,"90,046","Action, Adventure, Crime",97,Film,PG013,0,None,Moderate,Mild,None,Mild
2345,Wings,2005,7.2,"11,780","Comedy, Drama",30,Series,TV0PG,172,Mild,None,Mild,Mild,None
2346,Death Becomes Her,1992,6.6,"111,983","Comedy, Fantasy, Horror",104,Film,PG013,0,Mild,Moderate,Mild,Mild,Mild
2347,Home Before Dark,1992,7.5,"9,094","Crime, Drama, Mystery",45,Series,TV014,20,None,Mild,Mild,Mild,Mild
2348,Spooks,1992,8.2,"15,401","Action, Crime, Drama",60,Series,TV014,86,Moderate,Moderate,Moderate,Mild,Moderate
2349,Fear and Loathing in Las Vegas,1998,7.6,"269,345","Adventure, Comedy, Drama",118,Film,R,0,Mild,Mild,Severe,Severe,Severe
2350,Creep,2014,6.4,"48,305","Horror, Thriller",77,Film,R,0,Moderate,Mild,Moderate,Mild,Moderate
2351,The Marvels,2022,No Rate,No Votes,"Action, Adventure, Fantasy",None,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
2352,Alvin and the Chipmunks,2007,5.2,"80,971","Animation, Adventure, Comedy",92,Film,PG,0,Mild,Mild,Mild,Mild,Mild
2353,EastEnders,2007,4.7,"8,018","Crime, Drama, Romance",30,Series,TV0PG,8002,Mild,Moderate,Mild,Moderate,Severe
2354,RED 2,2013,6.6,"165,555","Action, Adventure, Comedy",116,Film,PG013,0,None,Moderate,Moderate,Mild,Mild
2355,Below Deck,2013,7.4,"2,512",Reality0TV,43,Series,TV014,125,No Rate,No Rate,No Rate,No Rate,No Rate
2356,Men in Black: International,2019,5.6,"123,539","Action, Adventure, Comedy",114,Film,PG013,0,Mild,Mild,Mild,Mild,Mild
2357,All in the Family,2019,8.3,"15,249","Comedy, Drama",30,Series,TV0PG,208,Mild,None,Moderate,Mild,None
2358,PokÃ©mon: Detective Pikachu,2019,6.6,"150,485","Action, Adventure, Comedy",104,Film,PG,0,None,Mild,Mild,Mild,Mild
2359,Magic Mike,2012,6.1,"134,937","Comedy, Drama",110,Film,R,0,Severe,Mild,Severe,Severe,Mild
2360,Battleship,2012,5.8,"241,840","Action, Adventure, Sci0Fi",131,Film,PG013,0,Mild,Moderate,Mild,Mild,Mild
2361,He0Man and the Masters of the Universe,2012,6.2,932,"Animation, Action, Adventure",26,Series,TV0Y7,10,No Rate,No Rate,No Rate,No Rate,No Rate
2362,Lois & Clark: The New Adventures of Superman,2012,6.7,"22,945","Adventure, Comedy, Drama",46,Series,TV0PG,87,None,Mild,Mild,Mild,Mild
2363,The Purge: Anarchy,2014,6.4,"146,281","Action, Horror, Sci0Fi",103,Film,R,0,Mild,Severe,Severe,Moderate,Severe
2364,Primal Fear,1996,7.7,"201,021","Crime, Drama, Mystery",129,Film,R,0,Moderate,Moderate,Severe,Mild,Moderate
2365,Serenity,2005,7.8,"289,545","Action, Adventure, Sci0Fi",119,Film,PG013,0,Mild,Moderate,Mild,Mild,Moderate
2366,Mystic Pizza,1988,6.3,"27,882","Comedy, Drama, Romance",104,Film,R,0,Mild,None,Moderate,Mild,None
2367,Chappie,2015,6.8,"240,135","Action, Crime, Drama",120,Film,R,0,Mild,Severe,Severe,Moderate,Moderate
2368,To Die For,1995,6.8,"46,204","Comedy, Crime, Drama",106,Film,R,0,Moderate,Mild,Moderate,Mild,Mild
2369,Bad Times at the El Royale,2018,7.1,"138,730","Crime, Drama, Mystery",141,Film,R,0,Mild,Severe,Moderate,Moderate,Moderate
2370,Limitless,2011,7.4,"546,100","Sci0Fi, Thriller",105,Film,PG013,0,Moderate,Moderate,Moderate,Severe,Moderate
2371,Blue Velvet,1986,7.7,"189,693","Drama, Mystery, Thriller",120,Film,R,0,Severe,Severe,Severe,Moderate,Severe
2372,Ride Along 2,2016,5.9,"55,926","Action, Comedy, Crime",102,Film,PG013,0,Mild,Mild,Moderate,Mild,None
2373,Dodgeball: A True Underdog Story,2004,6.7,"238,223","Comedy, Sport",92,Film,PG013,0,Moderate,Mild,Moderate,Mild,None
2374,Color Out of Space,2019,6.2,"41,559","Horror, Mystery, Sci0Fi",111,Film,Unrated,0,Mild,Severe,Severe,Mild,Severe
2375,Immortals,2011,6,"164,690","Action, Drama, Fantasy",110,Film,R,0,Moderate,Severe,Mild,None,Moderate
2376,X0Men: The Last Stand,2006,6.7,"497,193","Action, Adventure, Sci0Fi",104,Film,PG013,0,Mild,Moderate,Moderate,Mild,Moderate
2377,Utopia,2020,6.7,"12,329","Action, Drama, Mystery",55,Series,TV0MA,8,Mild,Severe,Moderate,Mild,Moderate
2378,How the West Was Won,1962,7.1,"19,878",Western,164,Film,G,0,None,Mild,None,Mild,Mild
2379,The Goes Wrong Show,1962,8.5,"1,598",Comedy,29,Series,TV0PG,12,Mild,Mild,Mild,Mild,Mild
2380,"Girl, Interrupted",1999,7.3,"173,524","Biography, Drama",127,Film,R,0,Mild,Moderate,Severe,Moderate,Moderate
2381,GLOW,1999,8,"43,122","Comedy, Drama, Sport",35,Series,TV0MA,30,Severe,Mild,Severe,Moderate,None
2382,Santa Clarita Diet,1999,7.8,"61,510","Comedy, Horror",30,Series,TV0MA,30,Mild,Severe,Severe,Mild,Moderate
2383,Panic Room,2002,6.8,"269,667","Crime, Drama, Thriller",112,Film,R,0,None,Severe,Severe,Mild,Severe
2384,Vice,2018,7.2,"133,704","Biography, Comedy, Drama",132,Film,R,0,Mild,Moderate,Moderate,Mild,Moderate
2385,Batman,2018,7.5,"20,261","Action, Adventure, Comedy",25,Series,TV0G,120,None,Mild,None,Mild,Mild
2386,The Craft: Legacy,2020,4.4,"10,808","Drama, Fantasy, Horror",97,Film,PG013,0,Mild,Moderate,Mild,None,Mild
2387,Mononoke0hime,1997,8.4,"366,379","Animation, Action, Adventure",134,Film,PG013,0,None,Severe,Mild,Mild,Moderate
2388,Ambulance,2022,No Rate,No Votes,"Action, Crime, Drama",None,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
2389,Inside No. 9,2022,8.5,"14,688","Comedy, Drama, Horror",30,Series,TV0MA,39,Mild,Moderate,Moderate,Mild,Moderate
2390,Near Dark,1987,7,"36,449","Action, Crime, Drama",94,Film,R,0,None,Moderate,Moderate,Mild,Moderate
2391,Death Note,2017,4.4,"80,935","Action, Crime, Drama",101,Film,TV0MA,0,Mild,Severe,Severe,Mild,Severe
2392,Marco Polo,2017,8,"68,402","Adventure, Drama, History",60,Series,TV0MA,20,Severe,Severe,Mild,Moderate,Moderate
2393,Karen,2021,2.8,"1,504","Crime, Drama, Thriller",89,Film,TV014,0,Mild,Severe,Severe,Severe,Severe
2394,Before I Wake,2016,6.2,"43,533","Drama, Fantasy, Horror",97,Film,PG013,0,None,Mild,None,Mild,Moderate
2395,Kol,2020,7.1,"25,697","Crime, Horror, Mystery",112,Film,TV0MA,0,None,Severe,Moderate,Mild,Severe
2396,It's a Wonderful Life,1946,8.6,"423,418","Drama, Family, Fantasy",130,Film,PG,0,None,Mild,None,Mild,Mild
2397,Shrek 2,2004,7.2,"437,621","Animation, Adventure, Comedy",93,Film,PG,0,Mild,Mild,Mild,Mild,Mild
2398,McLeod's Daughters,2004,7.3,"5,495","Drama, Romance",45,Series,TV014,224,Mild,Mild,Mild,Mild,Moderate
2399,Peep Show,2004,8.6,"56,229",Comedy,25,Series,TV0MA,54,Moderate,Mild,Severe,Severe,None
2400,Strike,2004,7.9,"12,685","Crime, Drama, Mystery",60,Series,TV0MA,11,Mild,Moderate,Moderate,Moderate,Moderate
2401,Cube,1997,7.2,"221,474","Drama, Mystery, Sci0Fi",90,Film,R,0,Mild,Severe,Moderate,None,Severe
2402,The Howling,1981,6.6,"33,278",Horror,91,Film,R,0,Moderate,Severe,Mild,Mild,Severe
2403,Cowboys & Aliens,2011,6,"214,276","Action, Sci0Fi, Thriller",119,Film,PG013,0,Mild,Moderate,Mild,Mild,Moderate
2404,The Place Beyond the Pines,2012,7.3,"256,757","Crime, Drama, Thriller",140,Film,R,0,Mild,Moderate,Severe,Moderate,Moderate
2405,Below Her Mouth,2016,5.5,"11,467","Drama, Romance",94,Film,Not Rated,0,Severe,None,Mild,Mild,None
2406,Hogan's Heroes,2016,7.8,"9,436","Comedy, War",25,Series,TV0PG,168,None,None,None,Mild,No Rate
2407,Superintelligence,2020,5.4,"8,571","Comedy, Romance, Sci0Fi",106,Film,PG,0,Mild,None,Mild,Mild,Mild
2408,Ace Ventura: Pet Detective,1994,6.9,"287,991",Comedy,86,Film,PG013,0,Moderate,Mild,Moderate,Mild,Mild
2409,Der Untergang,2004,8.2,"342,483","Biography, Drama, History",156,Film,R,0,Mild,Severe,Mild,Moderate,Severe
2410,Arachnophobia,1990,6.4,"66,985","Comedy, Horror, Thriller",109,Film,PG013,0,Mild,Moderate,Mild,Mild,Severe
2411,Gangster Squad,2013,6.7,"210,541","Action, Crime, Drama",113,Film,R,0,Mild,Severe,Severe,Moderate,Moderate
2412,Capone,2020,4.7,"18,869","Biography, Crime, Drama",103,Film,R,0,Mild,Severe,Severe,Moderate,Moderate
2413,Escape from New York,1981,7.2,"134,668","Action, Adventure, Sci0Fi",99,Film,R,0,Mild,Moderate,Moderate,Mild,Moderate
2414,Raging Bull,1980,8.2,"336,631","Biography, Drama, Sport",129,Film,R,0,Mild,Moderate,Severe,Mild,Moderate
2415,Honest Thief,2020,6,"43,570","Action, Crime, Drama",99,Film,PG013,0,None,Moderate,Mild,Mild,Mild
2416,Sneaky Pete,2020,8.1,"33,471",Crime,60,Series,TV0MA,30,Moderate,Mild,Severe,Mild,Mild
2417,12 Mighty Orphans,2021,6.8,"2,576","History, Sport",118,Film,PG013,0,Mild,Mild,Mild,Mild,Mild
2418,The Kitchen,2019,5.5,"18,911","Action, Crime, Drama",102,Film,R,0,Mild,Severe,Severe,Mild,Moderate
2419,The Lost World: Jurassic Park,1997,6.6,"395,341","Action, Adventure, Sci0Fi",129,Film,PG013,0,None,Moderate,Mild,Mild,Severe
2420,Lie with Me,2005,5.3,"14,882","Drama, Romance",93,Film,Not Rated,0,Severe,Mild,Moderate,Mild,No Rate
2421,The Wedding Singer,1998,6.9,"141,874","Comedy, Music, Romance",97,Film,PG013,0,Mild,Mild,Moderate,Mild,None
2422,Dawn of the Dead,1978,7.9,"116,182","Horror, Thriller",127,Film,Unrated,0,Mild,Severe,Moderate,Mild,Severe
2423,The Twilight Saga: Eclipse,2010,5,"236,536","Action, Adventure, Drama",124,Film,PG013,0,Mild,Moderate,Mild,Mild,Moderate
2424,The Circle,2010,7.3,"5,929","Game0Show, Reality0TV",48,Series,TV0MA,40,Mild,None,Moderate,Mild,None
2425,Deadly Friend,1986,5.6,"7,248","Drama, Horror, Sci0Fi",91,Film,R,0,None,Severe,Moderate,Mild,Severe
2426,Searching,2018,7.6,"152,434","Drama, Mystery, Thriller",102,Film,PG013,0,None,Mild,Mild,Mild,Mild
2427,Rushmore,1998,7.7,"176,496","Comedy, Drama, Romance",93,Film,R,0,Mild,Mild,Moderate,Mild,None
2428,The Fugitive,1993,7.8,"279,990","Action, Crime, Drama",130,Film,PG013,0,Mild,Moderate,Moderate,Mild,Moderate
2429,Edge of the World,2021,5.2,"1,345","Adventure, Drama",104,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
2430,Frontier,2021,7.2,"18,879","Adventure, Drama, History",60,Series,TV0MA,18,Moderate,Severe,Moderate,Mild,Moderate
2431,The Happening,2008,5,"201,651","Drama, Mystery, Sci0Fi",91,Film,R,0,None,Moderate,Mild,None,Moderate
2432,The Texas Chainsaw Massacre: The Beginning,2006,5.8,"69,966","Horror, Thriller",91,Film,R,0,Mild,Severe,Severe,Mild,Severe
2433,Wild Crime,2006,7.7,168,"Documentary, Crime, Mystery",None,Series,None,4,No Rate,No Rate,No Rate,No Rate,No Rate
2434,Gone Baby Gone,2007,7.6,"262,940","Crime, Drama, Mystery",114,Film,R,0,Mild,Severe,Severe,Moderate,Moderate
2435,Chef,2014,7.3,"206,395","Adventure, Comedy, Drama",114,Film,R,0,Mild,None,Moderate,Mild,None
2436,Untitled David O. Russell,2022,No Rate,No Votes,"Drama, History",None,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
2437,Shadow in the Cloud,2020,4.9,"21,544","Action, Horror, War",83,Film,R,0,None,Moderate,Severe,None,Moderate
2438,Monty Python and the Holy Grail,1975,8.2,"518,859","Adventure, Comedy, Fantasy",91,Film,PG,0,Mild,Moderate,Moderate,None,Mild
2439,A.I. Artificial Intelligence,2001,7.2,"298,761","Drama, Sci0Fi",146,Film,PG013,0,Mild,Mild,Mild,Mild,Moderate
2440,The Secret Life of Walter Mitty,2013,7.3,"304,229","Adventure, Comedy, Drama",114,Film,PG,0,None,Mild,Mild,Mild,Mild
2441,How to Train Your Dragon,2010,8.1,"695,722","Animation, Action, Adventure",98,Film,PG,0,None,Mild,None,None,Mild
2442,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,"468,803",Comedy,95,Film,PG,0,Mild,Mild,Mild,Mild,Mild
2443,Rio Bravo,1959,8,"59,307","Action, Drama, Western",141,Film,Passed,0,Mild,Mild,Mild,Moderate,Mild
2444,Fresh Off the Boat,1959,7.8,"23,781",Comedy,22,Series,TV0PG,116,None,Mild,Mild,No Rate,No Rate
2445,Love Story,2021,7.8,"1,734",Romance,155,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
2446,The Virginian,2021,7.6,"2,304",Western,75,Series,TV0PG,249,No Rate,No Rate,No Rate,No Rate,No Rate
2447,The Hole,2001,6.2,"45,619","Drama, Mystery, Thriller",102,Film,R,0,Moderate,Moderate,Moderate,Moderate,Severe
2448,Ballers,2001,7.6,"40,378","Comedy, Drama, Sport",30,Series,TV0MA,47,Severe,Mild,Severe,Moderate,None
2449,"I, Tonya",2017,7.5,"199,050","Biography, Comedy, Drama",119,Film,R,0,Moderate,Moderate,Severe,Moderate,Moderate
2450,The League of Extraordinary Gentlemen,2003,5.8,"172,315","Action, Adventure, Fantasy",110,Film,PG013,0,None,Moderate,Mild,Mild,Moderate
2451,Needle in a Timestack,2021,3.7,185,"Drama, Fantasy, Romance",111,Film,R,0,No Rate,No Rate,No Rate,No Rate,No Rate
2452,Marley & Me,2008,7.1,"152,084","Comedy, Drama, Family",111,Film,PG,0,Mild,Mild,Moderate,None,Moderate
2453,Sorjonen,2008,7.6,"8,919","Crime, Drama, Mystery",60,Series,TV0MA,31,Moderate,Moderate,Mild,Moderate,Moderate
2454,Wellington Paranormal,2008,7.7,"3,774","Comedy, Crime, Fantasy",30,Series,TV014,25,No Rate,No Rate,No Rate,No Rate,No Rate
2455,Weird Science,1985,6.6,"84,331","Comedy, Romance, Sci0Fi",94,Film,PG013,0,Mild,Mild,Moderate,Mild,Mild
2456,Takt Op. Destiny,1985,8.5,291,"Animation, Action, Adventure",24,Series,TV014,3,No Rate,No Rate,No Rate,No Rate,No Rate
2457,Tron,2010,6.8,"323,562","Action, Adventure, Sci0Fi",125,Film,PG,0,None,Mild,Mild,Mild,Moderate
2458,Solar Opposites,2010,8,"16,415","Animation, Comedy, Sci0Fi",22,Series,TV0MA,40,Moderate,Severe,Severe,Moderate,Moderate
2459,First Blood,1982,7.7,"238,730","Action, Adventure",93,Film,R,0,Mild,Moderate,Moderate,Mild,Moderate
2460,1922,2017,6.3,"58,261","Crime, Drama, Horror",102,Film,TV0MA,0,None,Severe,Mild,Mild,Moderate
2461,Excalibur,1981,7.4,"59,746","Action, Adventure, Drama",140,Film,R,0,Moderate,Moderate,None,None,Mild
2462,Goosebumps,1981,7.7,"12,767","Family, Fantasy, Horror",22,Series,TV0Y7,74,None,Mild,None,None,Moderate
2463,Perry Mason,1981,7.5,"16,950","Crime, Drama",60,Series,TV0MA,9,Severe,Moderate,Moderate,Moderate,Moderate
2464,Mannix,1981,7.3,"3,105","Action, Crime, Drama",60,Series,TV0PG,194,None,Mild,None,Mild,Moderate
2465,"Ada Twist, Scientist",1981,7.4,55,"Animation, Adventure, Comedy",12,Series,TV0PG,7,No Rate,No Rate,No Rate,No Rate,No Rate
2466,La cocinera de Castamar,2021,7.4,"2,666",Drama,None,Series,TV0MA,12,Moderate,Mild,Mild,Mild,Mild
2467,Annie,1982,6.6,"42,452","Comedy, Drama, Family",126,Film,PG,0,Mild,Mild,Mild,Mild,Mild
2468,The Bourne Identity,2002,7.9,"524,928","Action, Mystery, Thriller",119,Film,PG013,0,Mild,Moderate,Moderate,Mild,Moderate
2469,Fractured,2019,6.4,"65,103","Mystery, Thriller",99,Film,TV0MA,0,None,Moderate,Moderate,Mild,Moderate
2470,Beverly Hills Cop,1984,7.3,"174,607","Action, Comedy, Crime",105,Film,R,0,Moderate,Moderate,Severe,Mild,Mild
2471,Resident Evil: The Final Chapter,2016,5.5,"88,801","Action, Horror, Sci0Fi",107,Film,R,0,None,Severe,Moderate,None,Moderate
2472,Ragtime,1981,7.3,"9,346",Drama,155,Film,PG,0,Mild,Moderate,Moderate,Mild,No Rate
2473,The Belko Experiment,2016,6.1,"48,055","Horror, Thriller",89,Film,R,0,Mild,Severe,Severe,Mild,Severe
2474,Traffic,2000,7.6,"202,098","Crime, Drama, Thriller",147,Film,R,0,Moderate,Moderate,Severe,Severe,Moderate
2475,National Lampoon's Vacation,1983,7.4,"102,378","Adventure, Comedy",98,Film,R,0,Moderate,Mild,Moderate,Moderate,Mild
2476,GÃ¥smamman,1983,7.5,"2,546","Crime, Thriller",45,Series,None,46,No Rate,No Rate,No Rate,No Rate,No Rate
2477,Hunt for the Wilderpeople,2016,7.9,"121,089","Adventure, Comedy, Drama",101,Film,PG013,0,Mild,Moderate,Moderate,Mild,Mild
2478,Gone in Sixty Seconds,2000,6.5,"268,597","Action, Crime, Thriller",118,Film,PG013,0,Moderate,Moderate,Moderate,Mild,Mild
2479,12 Monkeys,2000,7.7,"42,680","Adventure, Drama, Mystery",42,Series,TV014,47,Mild,Moderate,Moderate,Mild,Moderate
2480,A Ghost Story,2017,6.9,"66,758","Drama, Fantasy, Romance",92,Film,R,0,Mild,Mild,Mild,Mild,Mild
2481,Paranormal Activity,2007,6.3,"228,771","Horror, Mystery",86,Film,R,0,None,Mild,Moderate,Mild,Severe
2482,Jane Eyre,2011,7.3,"84,734","Drama, Romance",120,Film,PG013,0,None,Mild,Mild,Mild,Moderate
2483,Stowaway,2021,5.6,"39,648","Drama, Sci0Fi, Thriller",116,Film,TV0MA,0,None,None,Mild,None,Mild
2484,Hudson & Rex,2021,7.1,"1,497","Crime, Drama, Mystery",45,Series,Not Rated,53,None,No Rate,Mild,No Rate,No Rate
2485,The Losers,2010,6.3,"97,873","Action, Adventure, Crime",97,Film,PG013,0,Mild,Moderate,Moderate,Mild,Moderate
2486,Texas Chainsaw 3D,2013,4.8,"47,795","Horror, Thriller",92,Film,R,0,Mild,Severe,Severe,Mild,Severe
2487,Tag,2018,6.5,"124,702","Action, Comedy",100,Film,R,0,Moderate,Mild,Severe,Moderate,None
2488,After Hours,1985,7.7,"64,857","Comedy, Crime, Drama",97,Film,R,0,Moderate,Mild,Mild,Moderate,Mild
2489,Fear,1996,6.2,"45,246","Drama, Thriller",97,Film,R,0,Moderate,Severe,Moderate,Moderate,Severe
2490,Porky's,1981,6.2,"40,787",Comedy,94,Film,R,0,Moderate,Mild,Moderate,Mild,None
2491,The Irregulars,2021,6,"13,379","Crime, Drama, Fantasy",None,Series,TV014,8,Mild,Moderate,Mild,Mild,Moderate
2492,The Rain,2021,6.3,"33,821","Drama, Sci0Fi, Thriller",45,Series,TV0MA,20,Mild,Moderate,Moderate,Mild,Moderate
2493,Clique,2021,7,"2,726","Drama, Thriller",43,Series,TV0MA,12,Moderate,No Rate,Severe,Moderate,No Rate
2494,The Purge,2021,6.5,"14,894","Action, Drama, Horror",42,Series,TV0MA,20,Mild,Severe,Moderate,Mild,Severe
2495,Blackhat,2015,5.4,"56,909","Action, Crime, Thriller",133,Film,R,0,Mild,Moderate,Mild,Mild,Moderate
2496,Benidorm,2015,7.4,"4,639",Comedy,30,Series,Not Rated,74,Moderate,None,Moderate,Mild,Mild
2497,October Sky,1999,7.8,"87,180","Biography, Drama, Family",108,Film,PG,0,None,Mild,Mild,None,Mild
2498,Murder Mystery,2019,6,"113,714","Action, Comedy, Crime",97,Film,PG013,0,Mild,Mild,Mild,Mild,Mild
2499,Genius,2019,8.3,"17,684","Biography, Drama, History",43,Series,TV014,29,Moderate,Moderate,Mild,Mild,Mild
2500,Mamma Mia! Here We Go Again,2018,6.6,"87,351","Comedy, Musical, Romance",114,Film,PG013,0,Mild,None,None,Mild,None
2501,KÃ´do giasu 0 Hangyaku no rurÃ»shu: Code Geass 0 Lelouch of the Rebellion,2018,8.7,"58,256","Animation, Action, Drama",24,Series,TV014,54,Moderate,Moderate,Mild,Mild,Severe
2502,The Exorcist III,1990,6.5,"29,623","Drama, Horror, Mystery",110,Film,R,0,Mild,Moderate,Mild,Mild,Severe
2503,Halloweentown II: Kalabar's Revenge,2001,6.5,"8,229","Adventure, Family, Fantasy",81,Film,TV0PG,0,None,None,None,None,Mild
2504,Murder on the Orient Express,1974,7.3,"58,838","Crime, Drama, Mystery",128,Film,PG,0,None,Mild,None,Mild,Mild
2505,Romancing the Stone,1984,6.9,"88,373","Action, Adventure, Comedy",106,Film,PG,0,Mild,Moderate,Mild,Mild,Mild
2506,Unbreakable,2000,7.3,"401,871","Drama, Mystery, Sci0Fi",106,Film,PG013,0,Mild,Moderate,Mild,Mild,Moderate
2507,Boyz n the Hood,1991,7.8,"133,409","Crime, Drama",112,Film,R,0,Moderate,Moderate,Severe,Moderate,Severe
2508,Vis a vis,1991,8.2,"19,515","Action, Adventure, Drama",53,Series,TV0MA,51,Severe,Moderate,Moderate,Severe,Moderate
2509,Easy A,2010,7,"373,327","Comedy, Drama, Romance",92,Film,PG013,0,Moderate,Mild,Moderate,Mild,None
2510,Little Miss Sunshine,2006,7.8,"455,783","Comedy, Drama",101,Film,R,0,Mild,None,Moderate,Moderate,Mild
2511,Austin Powers in Goldmember,2002,6.2,"202,335","Action, Adventure, Comedy",94,Film,PG013,0,Moderate,Moderate,Moderate,Mild,Mild
2512,American Graffiti,1973,7.4,"85,695","Comedy, Drama",110,Film,PG,0,Mild,Mild,Moderate,Mild,Mild
