ID,Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
158,Friday Night Lights,2022,8.6,"60,640","Drama, Sport",44,Series,TV014,76,Mild,Mild,Mild,Moderate,None
159,9/1/2001,2022,7.8,"26,981","Action, Drama, Thriller",43,Series,TV014,65,Mild,Moderate,Mild,Mild,Moderate
160,Heat,1995,8.2,"609,446","Crime, Drama, Thriller",170,Film,R,0,Mild,Severe,Severe,Mild,Moderate
161,Old Henry,2021,7.2,"4,233",Western,99,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
162,Chicago P.D.,2021,8.1,"32,212","Action, Crime, Drama",43,Series,TV014,171,Mild,Moderate,Mild,Moderate,Moderate
163,Shameless,2021,8.5,"217,452","Comedy, Drama",46,Series,TV0MA,134,Severe,Moderate,Severe,Severe,Moderate
164,The Expanse,2021,8.5,"123,865","Drama, Mystery, Sci0Fi",60,Series,TV014,62,Moderate,Moderate,Moderate,Mild,Moderate
165,Muppets Haunted Mansion,2021,6.7,"2,929","Adventure, Comedy, Family",52,Film,TV0PG,0,None,Mild,Mild,None,Moderate
166,Westworld,2021,8.6,"453,101","Drama, Mystery, Sci0Fi",62,Series,TV0MA,35,Severe,Severe,Severe,Moderate,Moderate
167,American Rust,2021,7,"1,915","Crime, Drama",None,Series,TV0MA,9,Severe,No Rate,No Rate,No Rate,No Rate
168,Ghosts,2021,8.2,"8,577","Comedy, Fantasy",30,Series,TV014,19,Mild,Mild,Mild,Mild,None
169,Fear the Walking Dead,2021,6.9,"120,421","Drama, Horror, Sci0Fi",44,Series,TV0MA,101,Mild,Severe,Mild,Mild,Severe
170,Cinderella,2021,4.2,"33,916","Adventure, Comedy, Family",113,Film,PG,0,Mild,None,Mild,None,None
171,Bridgerton,2021,7.3,"89,503","Drama, Romance",60,Series,TV0MA,16,Severe,Mild,Mild,Mild,Mild
172,Halloween,2018,6.5,"132,934","Crime, Horror, Thriller",106,Film,R,0,Mild,Severe,Moderate,Mild,Severe
173,The Addams Family,2019,5.8,"33,649","Animation, Adventure, Comedy",86,Film,PG,0,None,Mild,None,Mild,Mild
174,House M.D.,2019,8.7,"432,280","Drama, Mystery",44,Series,TV014,176,Mild,Moderate,Mild,Moderate,Moderate
175,Good Girls,2019,7.8,"44,113","Comedy, Crime, Drama",43,Series,TV014,50,Mild,Moderate,Mild,Moderate,Mild
176,The Flash,2019,7.6,"325,626","Action, Adventure, Drama",43,Series,TV0PG,165,Mild,Mild,Mild,Mild,Mild
177,Scream,1996,7.3,"304,350","Horror, Mystery",111,Film,R,0,Mild,Severe,Moderate,Mild,Severe
178,Suits,1996,8.4,"380,478","Comedy, Drama",44,Series,TV014,134,Mild,Mild,Moderate,Moderate,None
179,Once Upon a Time... in Hollywood,2019,7.6,"643,564","Comedy, Drama",161,Film,R,0,Mild,Severe,Severe,Moderate,Moderate
180,My Little Pony: A New Generation,2021,7,"2,247","Animation, Adventure, Comedy",90,Film,PG,0,None,Mild,None,None,Mild
181,Jungle Cruise,2021,6.6,"113,396","Action, Adventure, Comedy",127,Film,PG013,0,None,Moderate,None,Mild,Moderate
182,Gilmore Girls,2021,8.1,"110,011","Comedy, Drama",44,Series,TV0PG,154,Mild,None,Mild,Mild,None
183,True Detective,2021,8.9,"524,326","Crime, Drama, Mystery",55,Series,TV0MA,24,Severe,Severe,Severe,Severe,Severe
184,Bones,2021,7.8,"147,495","Comedy, Crime, Drama",40,Series,TV014,245,Mild,Severe,Mild,Mild,Moderate
185,American Horror Stories,2021,6.1,"12,381","Drama, Horror, Thriller",45,Series,TV0MA,8,Moderate,Severe,Severe,Moderate,Severe
186,Intrusion,2021,5.2,"8,561","Drama, Thriller",92,Film,TV014,0,None,Mild,Mild,Mild,Moderate
187,Leverage: Redemption,2021,8.8,"13,554","Crime, Mystery, Thriller",None,Series,TV014,16,Moderate,Moderate,None,Moderate,Mild
188,Blade Runner 2049,2017,8,"502,751","Action, Drama, Mystery",164,Film,R,0,Moderate,Moderate,Moderate,Mild,Moderate
189,The X Files,2017,8.6,"209,643","Crime, Drama, Mystery",45,Series,TV014,217,Mild,Moderate,Mild,Mild,Severe
190,Ordinary Joe,2017,6.6,"1,391",Drama,None,Series,TV0G,7,Mild,No Rate,No Rate,No Rate,No Rate
191,Schitt's Creek,2017,8.5,"97,987",Comedy,22,Series,TV014,80,Mild,None,Moderate,Mild,None
192,The Matrix Resurrections,2021,No Rate,No Votes,"Action, Sci0Fi",140,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
193,The Vampire Diaries,2021,7.7,"298,419","Drama, Fantasy, Horror",43,Series,TV014,171,Moderate,Moderate,Mild,Moderate,Moderate
194,Grantchester,2021,7.9,"11,403","Crime, Drama, Mystery",45,Series,TV014,39,Mild,Mild,Mild,Severe,Mild
195,Blue Bayou,2021,7.1,"1,833",Drama,117,Film,R,0,No Rate,Moderate,Moderate,Mild,Moderate
196,The Matrix,1999,8.7,"1,767,660","Action, Sci0Fi",136,Film,R,0,Mild,Moderate,Moderate,Mild,Moderate
197,Manhunt,1999,7.5,"6,268","Biography, Crime, Drama",45,Series,TV014,7,None,Mild,Severe,Mild,Mild
198,ER,1999,7.7,"54,651","Drama, Romance",44,Series,TV014,331,Mild,Moderate,Mild,Mild,Moderate
199,One of Us Is Lying,1999,6.6,537,"Crime, Drama, Mystery",None,Series,None,9,No Rate,No Rate,No Rate,No Rate,No Rate
200,The Wolf of Wall Street,2013,8.2,"1,271,608","Biography, Comedy, Crime",180,Film,R,0,Severe,Moderate,Severe,Severe,Moderate
201,The Last Kingdom,2013,8.4,"98,462","Action, Drama, History",60,Series,TV0MA,46,Moderate,Severe,Mild,Mild,Moderate
202,The Shawshank Redemption,1994,9.3,"2,474,122",Drama,142,Film,R,0,Mild,Moderate,Severe,Mild,Moderate
203,Star Trek: The Next Generation,1994,8.6,"109,337","Action, Adventure, Mystery",44,Series,TV0PG,176,Mild,Mild,Mild,Mild,Moderate
204,The Walking Dead: World Beyond,1994,4.2,"11,306","Drama, Horror, Sci0Fi",60,Series,TV014,20,Mild,Moderate,Mild,Mild,Moderate
205,FBI,1994,6.9,"13,075","Action, Crime, Drama",60,Series,TV014,61,None,Moderate,Mild,Mild,Moderate
206,Fargo,1994,8.9,"347,559","Crime, Drama, Thriller",53,Series,TV0MA,41,Mild,Severe,Moderate,Mild,Severe
207,Joker,2019,8.4,"1,077,534","Crime, Drama, Thriller",122,Film,R,0,Mild,Severe,Moderate,Moderate,Severe
208,Harry Potter and the Sorcerer's Stone,2001,7.6,"702,396","Adventure, Family, Fantasy",152,Film,PG,0,None,Mild,Mild,None,Mild
209,Curb Your Enthusiasm,2001,8.7,"111,076",Comedy,28,Series,TV0MA,110,Moderate,None,Severe,Mild,None
